H,2017-12-12 00:02:00,2017-12-12 00:04:00
S,2017-12-12 00:04:00,2017-12-12 07:28:00
H,2017-12-12 07:28:00,2017-12-12 09:33:00
A,2017-12-12 09:33:00,2017-12-12 20:41:00
H,2017-12-12 20:41:00,2017-12-13 00:59:00
S,2017-12-13 00:59:00,2017-12-13 09:26:00
A,2017-12-13 09:26:00,2017-12-13 19:00:00
H,2017-12-13 19:00:00,2017-12-14 00:15:00
S,2017-12-14 00:15:00,2017-12-14 07:38:00
H,2017-12-14 07:38:00,2017-12-14 09:12:00
A,2017-12-14 09:12:00,2017-12-14 19:05:00
H,2017-12-14 19:05:00,2017-12-15 00:38:00
S,2017-12-15 00:38:00,2017-12-15 07:18:00
H,2017-12-15 07:18:00,2017-12-15 08:04:00
A,2017-12-15 08:04:00,2017-12-15 21:43:00
H,2017-12-15 21:43:00,2017-12-15 23:59:00
